claim_id,true_label,seed,input_file
139994,Refuted,42,shared_task_dev.jsonl
72194,Supported,42,shared_task_dev.jsonl
86133,Supported,42,shared_task_dev.jsonl
60162,Supported,42,shared_task_dev.jsonl
115386,Supported,42,shared_task_dev.jsonl
21853,Supported,42,shared_task_dev.jsonl
62919,Refuted,42,shared_task_dev.jsonl
189874,Supported,42,shared_task_dev.jsonl
64966,Refuted,42,shared_task_dev.jsonl
148755,Supported,42,shared_task_dev.jsonl
121645,Supported,42,shared_task_dev.jsonl
36829,Refuted,42,shared_task_dev.jsonl
169000,Refuted,42,shared_task_dev.jsonl
6539,Supported,42,shared_task_dev.jsonl
63627,Supported,42,shared_task_dev.jsonl
177974,Supported,42,shared_task_dev.jsonl
119519,Refuted,42,shared_task_dev.jsonl
225863,Supported,42,shared_task_dev.jsonl
17718,Refuted,42,shared_task_dev.jsonl
30673,Refuted,42,shared_task_dev.jsonl
203374,Refuted,42,shared_task_dev.jsonl
2405,Supported,42,shared_task_dev.jsonl
25247,Supported,42,shared_task_dev.jsonl
112777,Supported,42,shared_task_dev.jsonl
66211,Refuted,42,shared_task_dev.jsonl
197364,Refuted,42,shared_task_dev.jsonl
159315,Refuted,42,shared_task_dev.jsonl
50948,Refuted,42,shared_task_dev.jsonl
135311,Supported,42,shared_task_dev.jsonl
204415,Supported,42,shared_task_dev.jsonl
127981,Supported,42,shared_task_dev.jsonl
2938,Refuted,42,shared_task_dev.jsonl
214787,Supported,42,shared_task_dev.jsonl
4246,Refuted,42,shared_task_dev.jsonl
78289,Supported,42,shared_task_dev.jsonl
75728,Supported,42,shared_task_dev.jsonl
166658,Supported,42,shared_task_dev.jsonl
9849,Refuted,42,shared_task_dev.jsonl
34461,Supported,42,shared_task_dev.jsonl
1709,Supported,42,shared_task_dev.jsonl
68784,Supported,42,shared_task_dev.jsonl
199676,Refuted,42,shared_task_dev.jsonl
199265,Refuted,42,shared_task_dev.jsonl
108734,Supported,42,shared_task_dev.jsonl
188136,Supported,42,shared_task_dev.jsonl
116668,Supported,42,shared_task_dev.jsonl
45638,Refuted,42,shared_task_dev.jsonl
87414,Refuted,42,shared_task_dev.jsonl
144222,Supported,42,shared_task_dev.jsonl
115183,Refuted,42,shared_task_dev.jsonl
146015,Supported,42,shared_task_dev.jsonl
175658,Refuted,42,shared_task_dev.jsonl
106392,Supported,42,shared_task_dev.jsonl
41980,Supported,42,shared_task_dev.jsonl
29534,Refuted,42,shared_task_dev.jsonl
215504,Supported,42,shared_task_dev.jsonl
130220,Refuted,42,shared_task_dev.jsonl
177529,Supported,42,shared_task_dev.jsonl
72132,Refuted,42,shared_task_dev.jsonl
80303,Supported,42,shared_task_dev.jsonl
179302,Supported,42,shared_task_dev.jsonl
85895,Supported,42,shared_task_dev.jsonl
120442,Refuted,42,shared_task_dev.jsonl
193419,Refuted,42,shared_task_dev.jsonl
124264,Refuted,42,shared_task_dev.jsonl
20605,Refuted,42,shared_task_dev.jsonl
70310,Supported,42,shared_task_dev.jsonl
196750,Supported,42,shared_task_dev.jsonl
147158,Supported,42,shared_task_dev.jsonl
136427,Refuted,42,shared_task_dev.jsonl
80429,Supported,42,shared_task_dev.jsonl
17054,Refuted,42,shared_task_dev.jsonl
28593,Supported,42,shared_task_dev.jsonl
200262,Supported,42,shared_task_dev.jsonl
187571,Refuted,42,shared_task_dev.jsonl
149286,Refuted,42,shared_task_dev.jsonl
116113,Supported,42,shared_task_dev.jsonl
194922,Supported,42,shared_task_dev.jsonl
127540,Supported,42,shared_task_dev.jsonl
136290,Supported,42,shared_task_dev.jsonl
30638,Supported,42,shared_task_dev.jsonl
53676,Supported,42,shared_task_dev.jsonl
205088,Refuted,42,shared_task_dev.jsonl
50529,Supported,42,shared_task_dev.jsonl
221087,Refuted,42,shared_task_dev.jsonl
117000,Refuted,42,shared_task_dev.jsonl
194221,Supported,42,shared_task_dev.jsonl
97589,Refuted,42,shared_task_dev.jsonl
126561,Refuted,42,shared_task_dev.jsonl
219130,Supported,42,shared_task_dev.jsonl
53796,Supported,42,shared_task_dev.jsonl
163977,Supported,42,shared_task_dev.jsonl
205102,Refuted,42,shared_task_dev.jsonl
225804,Refuted,42,shared_task_dev.jsonl
173505,Supported,42,shared_task_dev.jsonl
182267,Refuted,42,shared_task_dev.jsonl
88473,Supported,42,shared_task_dev.jsonl
165881,Refuted,42,shared_task_dev.jsonl
39405,Supported,42,shared_task_dev.jsonl
58800,Supported,42,shared_task_dev.jsonl
132355,Refuted,42,shared_task_dev.jsonl
108755,Supported,42,shared_task_dev.jsonl
164506,Refuted,42,shared_task_dev.jsonl
80970,Refuted,42,shared_task_dev.jsonl
198066,Supported,42,shared_task_dev.jsonl
204630,Refuted,42,shared_task_dev.jsonl
160304,Refuted,42,shared_task_dev.jsonl
99849,Refuted,42,shared_task_dev.jsonl
36333,Supported,42,shared_task_dev.jsonl
153261,Refuted,42,shared_task_dev.jsonl
85642,Supported,42,shared_task_dev.jsonl
18397,Supported,42,shared_task_dev.jsonl
57622,Supported,42,shared_task_dev.jsonl
60144,Refuted,42,shared_task_dev.jsonl
160814,Supported,42,shared_task_dev.jsonl
8316,Supported,42,shared_task_dev.jsonl
175921,Supported,42,shared_task_dev.jsonl
131969,Refuted,42,shared_task_dev.jsonl
216791,Refuted,42,shared_task_dev.jsonl
117316,Supported,42,shared_task_dev.jsonl
75584,Supported,42,shared_task_dev.jsonl
90080,Refuted,42,shared_task_dev.jsonl
222738,Refuted,42,shared_task_dev.jsonl
134983,Refuted,42,shared_task_dev.jsonl
117063,Supported,42,shared_task_dev.jsonl
155920,Refuted,42,shared_task_dev.jsonl
63308,Supported,42,shared_task_dev.jsonl
100446,Refuted,42,shared_task_dev.jsonl
54411,Supported,42,shared_task_dev.jsonl
23729,Supported,42,shared_task_dev.jsonl
66801,Refuted,42,shared_task_dev.jsonl
223273,Supported,42,shared_task_dev.jsonl
211009,Supported,42,shared_task_dev.jsonl
122000,Supported,42,shared_task_dev.jsonl
142735,Refuted,42,shared_task_dev.jsonl
9504,Supported,42,shared_task_dev.jsonl
134344,Supported,42,shared_task_dev.jsonl
119794,Supported,42,shared_task_dev.jsonl
217025,Supported,42,shared_task_dev.jsonl
10675,Refuted,42,shared_task_dev.jsonl
42583,Refuted,42,shared_task_dev.jsonl
193844,Supported,42,shared_task_dev.jsonl
1746,Refuted,42,shared_task_dev.jsonl
17374,Supported,42,shared_task_dev.jsonl
75538,Refuted,42,shared_task_dev.jsonl
131670,Refuted,42,shared_task_dev.jsonl
109036,Refuted,42,shared_task_dev.jsonl
17628,Refuted,42,shared_task_dev.jsonl
124050,Refuted,42,shared_task_dev.jsonl
129221,Supported,42,shared_task_dev.jsonl
32595,Supported,42,shared_task_dev.jsonl
172108,Refuted,42,shared_task_dev.jsonl
41265,Supported,42,shared_task_dev.jsonl
62201,Supported,42,shared_task_dev.jsonl
116269,Refuted,42,shared_task_dev.jsonl
142631,Refuted,42,shared_task_dev.jsonl
182915,Refuted,42,shared_task_dev.jsonl
